Código Capítulo;Capítulo Descripción;Exportaciones;Mes;NUM;Año
1;Animales vivos.;922054.9103;Enero;1;2017
1;Animales vivos.;882164.5953;Febrero;2;2017
1;Animales vivos.;1086158.182;Marzo;3;2017
1;Animales vivos.;700763.694;Abril;4;2017
1;Animales vivos.;735716.5345;Mayo;5;2017
1;Animales vivos.;790002.9199;Junio;6;2017
1;Animales vivos.;780889.7201;Julio;7;2017
1;Animales vivos.;719642.296;Agosto;8;2017
1;Animales vivos.;207844.678;Septiembre;9;2017
1;Animales vivos.;31625.9071;Octubre;10;2017
1;Animales vivos.;41740.6996;Noviembre;11;2017
1;Animales vivos.;21004.4966;Diciembre;12;2017
1;Animales vivos.;2013930.039;Enero;1;2018
1;Animales vivos.;1646189.572;Febrero;2;2018
1;Animales vivos.;9939.9958;Marzo;3;2018
1;Animales vivos.;40310.0949;Abril;4;2018
1;Animales vivos.;10303.0333;Mayo;5;2018
1;Animales vivos.;10110.95;Junio;6;2018
1;Animales vivos.;882315.11;Julio;7;2018
1;Animales vivos.;2318823.086;Agosto;8;2018
1;Animales vivos.;1013418.759;Septiembre;9;2018
1;Animales vivos.;45240.3815;Octubre;10;2018
1;Animales vivos.;895728.881;Noviembre;11;2018
1;Animales vivos.;606563.2568;Diciembre;12;2018
1;Animales vivos.;2061278.363;Enero;1;2019
1;Animales vivos.;11358.838;Febrero;2;2019
1;Animales vivos.;1563265.286;Marzo;3;2019
1;Animales vivos.;21704.81;Abril;4;2019
1;Animales vivos.;17343.5;Mayo;5;2019
1;Animales vivos.;1847692.586;Junio;6;2019
1;Animales vivos.;706602.8114;Julio;7;2019
1;Animales vivos.;867475.1494;Agosto;8;2019
1;Animales vivos.;7656.949;Septiembre;9;2019
1;Animales vivos.;1570842.98;Octubre;10;2019
1;Animales vivos.;859574.6918;Noviembre;11;2019
1;Animales vivos.;42463.103;Diciembre;12;2019
1;Animales vivos.;922629.9999;Enero;1;2020
1;Animales vivos.;431653.7385;Febrero;2;2020
1;Animales vivos.;752524.8009;Marzo;3;2020
1;Animales vivos.;57039.051;Abril;4;2020
1;Animales vivos.;30531.72;Mayo;5;2020
1;Animales vivos.;1365;Junio;6;2020
1;Animales vivos.;57413;Julio;7;2020
1;Animales vivos.;4544.5;Agosto;8;2020
1;Animales vivos.;10711.895;Septiembre;9;2020
1;Animales vivos.;23504.1844;Octubre;10;2020
1;Animales vivos.;69096.1464;Noviembre;11;2020
1;Animales vivos.;69675.7875;Diciembre;12;2020
1;Animales vivos.;11071.026;Enero;1;2021
1;Animales vivos.;23059.64;Febrero;2;2021
1;Animales vivos.;25106;Marzo;3;2021
1;Animales vivos.;20898;Abril;4;2021
1;Animales vivos.;59724.277;Mayo;5;2021
1;Animales vivos.;37757;Junio;6;2021
1;Animales vivos.;51927;Julio;7;2021
1;Animales vivos.;15371;Agosto;8;2021
1;Animales vivos.;7756;Septiembre;9;2021
1;Animales vivos.;8354;Octubre;10;2021
1;Animales vivos.;6286;Noviembre;11;2021
1;Animales vivos.;11092;Diciembre;12;2021
1;Animales vivos.;1900;Enero;1;2022
1;Animales vivos.;12206;Febrero;2;2022
1;Animales vivos.;10832;Marzo;3;2022
1;Animales vivos.;11030;Abril;4;2022
1;Animales vivos.;24887.58;Mayo;5;2022
1;Animales vivos.;4393;Junio;6;2022
1;Animales vivos.;8258;Julio;7;2022
1;Animales vivos.;6250;Agosto;8;2022
1;Animales vivos.;5634.5;Septiembre;9;2022
1;Animales vivos.;3050;Octubre;10;2022
1;Animales vivos.;12051.85;Noviembre;11;2022
1;Animales vivos.;16536;Diciembre;12;2022
1;Animales vivos.;9950;Enero;1;2023
1;Animales vivos.;21742;Febrero;2;2023
1;Animales vivos.;10919;Marzo;3;2023
1;Animales vivos.;17010;Abril;4;2023
1;Animales vivos.;13621.6499;Mayo;5;2023
1;Animales vivos.;8875.59;Junio;6;2023
1;Animales vivos.;33380;Julio;7;2023
1;Animales vivos.;9050;Agosto;8;2023
1;Animales vivos.;10920;Septiembre;9;2023
